Status,Count,All Chars,Char 1,Pinyin 1,Rank 1,Char 2,Pinyin 2,Rank 2,Char 2,Pinyin 2,Rank 2,Char 3,Pinyin 3,Rank 3,Char 3,Pinyin 3,Rank 3,Char 4,Pinyin 4,Rank 4,Char 4,Pinyin 4,Rank 4,Notes,
Done,2,一二,一,yi1,2,二,er4,72,,,,,,,,,,,,,,,,,
Done,4,人入八儿,人,ren2,6,入,ru4,169,八,ba1,321,儿,er2/er,167,,,,,,,,,,,
Done,2,了丁,了,le/liao3/liao4,5,丁,ding1,906,,,,,,,,,,,,,,,,,
,3,从众以,从,cong1/cong2/zong4,100,众,zhong4,369,以,yi3,16,,,,,,,,,,,,,,
,4,几九力刀,几,ji1/ji3,228,九,jiu3,340,力,li4,126,刀,dao1,1035,,,,,,,,,,,
,3,刀万方,刀,dao1,1035,万,wan4,247,方,fang1,63,,,,,,,,,,,,,,
,2,允充,允,yun3,1294,充,chong1,756,,,,,,,,,,,,,,,,,
,2,房旁,房,fang2,464,旁,pang2,1002,,,,,,,,,,,,,,,,,
,2,为办,为,wei2/wei4,12,办,ban4,425,,,,,,,,,,,,,,,,,
,4,介分份价,介,jie4,980,分,fen1/fen4,88,份,fen4,998,价,jia4/jie,505,,,,,,,,,,,
,6,生王玉主住任,生,sheng1,40,王,wang2,131,玉,yu4,599,主,zhu3,97,住,zhu4,308,任,ren4,225,,,,,
,2,土士,土,tu3,520,士,shi4,269,,,,,,,,,,,,,,,,,
,3,压庄宝,压,ya1/ya4,929,庄,zhuang1,977,宝,bao3,580,,,,,,,,,,,,,,
,3,干于千,干,gan1/gan4,389,于,yu2,33,千,qian1,376,,,,,,,,,,,,,,
,4,午牛件许,午,wu3,938,牛,niu2,945,件,jian4,302,许,xu3,271,,,,,,,,,,,
,5,上止正址证,上,shang4,19,止,zhi3,565,正,zheng1/zheng4,117,址,zhi3,2194,证,zheng4,460,,,,,,,,
,2,三兰,三,san1,69,兰,lan2,695,,,,,,,,,,,,,,,,,
,3,口门们,口,kou3,224,门,men2,151,们,men,20,,,,,,,,,,,,,,
,3,未末禾,未,wei4,265,末,mo4,1096,禾,he2,3082,,,,,,,,,,,,,,
,3,昨作做,昨,zuo2,1456,作,zuo4,62,做,zuo4,253,,,,,,,,,,,,,,
,3,已己巳,已,yi3,115,己,ji3,171,巳,si4,1702,,,,,,,,,,,,,,
,3,记忆纪,记,ji4,344,忆,yi4,1562,纪,ji4,636,,,,,,,,,,,,,,
,3,包抱饱,包,bao1,540,抱,bao4,1179,饱,bao3,2203,,,,,,,,,,,,,,
,2,巴色,巴,ba1,644,色,se4/shai3,317,,,,,,,,,,,,,,,,,
,2,把吧,把,ba3/ba4,120,吧,ba1/ba,608,,,,,,,,,,,,,,,,,
,3,唱咱帽,唱,chang4,1351,咱,za2/zan2,1376,帽,mao4,1907,,,,,,,,,,,,,,
,2,久之,久,jiu3,579,之,zhi1,13,,,,,,,,,,,,,,,,,
,2,心必,心,xin1,90,必,bi4,237,,,,,,,,,,,,,,,,,
,6,七匕比北化它,七,qi1,353,匕,bi1/bi3,3701,比,bi3/bi4,250,北,bei3,264,化,hua4,223,它,ta1,139,,,,,
,3,日目耳,日,ri4,67,目,mu4,278,耳,er3,809,,,,,,,,,,,,,,
,4,月朋明用,月,yue4,116,朋,peng2,1021,明,ming2,112,用,yong4,57,,,,,,,,,,,
,3,日白百,日,ri4,67,白,bai2,259,百,bai3,252,,,,,,,,,,,,,,
,2,目自,目,mu4,278,自,zi4,41,,,,,,,,,,,,,,,,,
,4,且直宜谊,且,qie3,276,直,zhi2,258,宜,yi2,884,谊,yi4,2308,,,,,,,,,,,
,4,其真直具,其,qi2,49,真,zhen1,226,直,zhi2,258,具,ju4,444,,,,,,,,,,,
,4,皿血而且,皿,min3,4386,血,xie3/xue4,761,而,er2,31,且,qie3,276,,,,,,,,,,,
,2,亚业,亚,ya4,535,业,ye4,162,,,,,,,,,,,,,,,,,
,2,开并,开,kai1,108,并,bing4,141,,,,,,,,,,,,,,,,,
,2,不下,不,bu4/bu2,3,下,xia4,35,,,,,,,,,,,,,,,,,
,5,还送达这让,还,hai2/huan2/huan4,87,送,song4,532,达,da2,336,这,zhe4/zhei4,11,让,rang4,394,,,,,,,,
,3,李季突,李,li3,342,季,ji4,1268,突,tu1,586,,,,,,,,,,,,,,
,2,木本,木,mu4,682,本,ben3,104,,,,,,,,,,,,,,,,,
,2,休体,休,xiu1,1020,体,ti3,181,,,,,,,,,,,,,,,,,
,3,床庆厌,床,chuang2,1100,庆,qing4,1001,厌,yan4,1786,,,,,,,,,,,,,,
,3,术犬太,术,shu4/zhu2,385,犬,quan3,2557,太,tai4,134,,,,,,,,,,,,,,
,2,来米,来,lai2,14,米,mi3,688,,,,,,,,,,,,,,,,,
,4,头买实卖,头,tou2/tou,135,买,mai3,840,实,shi2,119,卖,mai4,1041,,,,,,,,,,,
,2,你 您尔,你 ,,,您,nin2,918,尔,er3,254,,,,,,,,,,,,,,
,3,火灭灾,火,huo3,431,灭,mie4,1004,灾,zai1,1273,,,,,,,,,,,,,,
,2,伙认,伙,huo3,1201,认,ren4,277,,,,,,,,,,,,,,,,,
,2,灯忙,灯,deng1,1138,忙,mang2,745,,,,,,,,,,,,,,,,,
,2,炎谈,炎,yan2,1512,谈,tan2,561,,,,,,,,,,,,,,,,,
,6,我找试钱线饿,我,wo3,9,找,zhao3,567,试,shi4,691,钱,qian2,490,线,xian4,542,饿,e4,2113,,,,,
,2,的时,的,de/di2/di4,1,时,shi2,28,,,,,,,,,,,,,,,,,
,5,看着春羞差,看,kan1/kan4,82,着,zhao1/zhao2/zhe/zhu4/zhuo2,47,春,chun1,610,羞,xiu1,2020,差,cha1/cha4/chai1/ci1,655,,,,,,,,
,2,复夏,复,fu4,307,夏,xia4,895,,,,,,,,,,,,,,,,,
,2,更史,更,geng1/geng4,249,史,shi3,316,,,,,,,,,,,,,,,,,
,2,便使,便,bian4/pian2,208,使,shi3,102,,,,,,,,,,,,,,,,,
,6,是走定足起越,是,shi4,4,走,zou3,202,定,ding4,94,足,zu2,502,起,qi3,79,越,yue4,486,,,,,
,2,题提,题,ti2,287,提,di1/ti2,246,,,,,,,,,,,,,,,,,
,6,舟船般搬航股,舟,zhou1,1729,船,chuan2,600,般,ban1,670,搬,ban1,1967,航,hang2,971,股,gu3,790,,,,,
,3,铅船盘,铅,qian1,3012,船,chuan2,600,盘,pan2,1090,,,,,,,,,,,,,,
,3,老考者,老,lao3,152,考,kao3,550,者,zhe3,65,,,,,,,,,,,,,,
,3,式武代,式,shi4,377,武,wu3,335,代,dai4,201,,,,,,,,,,,,,,
,5,也世他地她,也,ye3,26,世,shi4,189,他,ta1,10,地,de/di4,25,她,ta1,125,,,,,,,,
,3,右石后,右,you4,551,石,dan4/shi2,368,后,hou4,44,,,,,,,,,,,,,,
,4,反友发饭,反,fan3,268,友,you3,633,发,fa1/fa4,58,饭,fan4,951,,,,,,,,,,,
,3,及乃奶,及,ji2,168,乃,nai3,473,奶,nai3,1213,,,,,,,,,,,,,,
,3,四西酒,四,si4,144,西,xi1,137,酒,jiu3,553,,,,,,,,,,,,,,
,4,得待特持,得,de2/de/dei3,36,待,dai1/dai4,596,特,te2/te4,211,持,chi2,402,,,,,,,,,,,
,4,等第弟梯,等,deng3,128,第,di4,130,弟,di4,543,梯,ti1,1985,,,,,,,,,,,
,3,和知如,和,he2/he4/huo2/huo4,24,知,zhi1,101,如,ru2,60,,,,,,,,,,,,,,
,5,光无先尤优,光,guang1,279,无,wu2,73,先,xian1,170,尤,you2,1128,优,you1,911,,,,,,,,
,2,五互,五,wu3,166,互,hu4,1003,,,,,,,,,,,,,,,,,
,3,毛手丰,毛,mao2,724,手,shou3,143,丰,feng1,1186,,,,,,,,,,,,,,
,2,乐东,乐,le4/yue4,493,东,dong1,155,,,,,,,,,,,,,,,,,
,2,车年,车,che1/ju1,370,年,nian2,39,,,,,,,,,,,,,,,,,
,4,平乎伞苹,平,ping2,190,乎,hu1,443,伞,san3,2175,苹,pin2/ping2,2862,,,,,,,,,,,
,2,呼评,呼,hu1,850,评,ping2,1007,,,,,,,,,,,,,,,,,
,6,话活适刮舌告,话,hua4,184,活,huo2,284,适,shi4,759,刮,gua1,2558,舌,she2,2083,告,gao4,328,,,,,
,2,故估,故,gu4,348,估,gu1/gu4,1597,,,,,,,,,,,,,,,,,
,2,胡湖,胡,hu2,770,湖,hu2,889,,,,,,,,,,,,,,,,,
,2,刮乱,刮,gua1,2558,乱,luan4,665,,,,,,,,,,,,,,,,,
,2,甜舒,甜,tian2,2389,舒,shu1,1554,,,,,,,,,,,,,,,,,
,3,苦草早,苦,ku3,654,草,cao3,799,早,zao3,456,,,,,,,,,,,,,,
,3,衣农表,衣,yi1/yi4,590,农,nong2,554,表,biao3,217,,,,,,,,,,,,,,
,3,才牙穿,才,cai2,227,牙,ya2,1054,穿,chuan1,867,,,,,,,,,,,,,,
,5,只识积织职,只,qi2/zhi1/zhi3,96,识,shi2/zhi4,397,积,ji1,806,织,zhi1,734,职,zhi2,619,,,,,,,,
,4,总聪脱职,总,zong3,260,聪,cong1,1733,脱,tuo1,979,职,zhi2,619,,,,,,,,,,,
,2,否杏,否,fou3/pi3,729,杏,xing4,2584,,,,,,,,,,,,,,,,,
,3,杏李香,杏,xing4,2584,李,li3,342,香,xiang1,678,,,,,,,,,,,,,,
,3,呆保误,呆,dai1,1500,保,bao3,285,误,wu4,948,,,,,,,,,,,,,,
,3,果束桌,果,guo3,193,束,shu4,1130,桌,zhuo1,1330,,,,,,,,,,,,,,
,3,课稞棵,课,ke4,1355,稞,ke1,6219,棵,ke1,2456,,,,,,,,,,,,,,
,4,谁准难推,谁,shei2/shui2,638,准,zhun3,440,难,nan2/nan4,291,推,tui1,536,,,,,,,,,,,
,4,去丢法去,去,qu4,52,丢,diu1,1841,法,fa3,77,去,qu4,52,,,,,,,,,,,
,2,到倒,到,dao4,21,倒,dao3/dao4,587,,,,,,,,,,,,,,,,,
,2,或成,或,huo4,173,成,cheng2/cheng4,64,,,,,,,,,,,,,,,,,
,3,咸减感,咸,xian2,1670,减,jian3,897,感,gan3,290,,,,,,,,,,,,,,
,2,城诚,城,cheng2,283,诚,cheng2,1088,,,,,,,,,,,,,,,,,
,2,可句,可,ke3,37,句,ju4,736,,,,,,,,,,,,,,,,,
,3,司同词,司,si1,232,同,tong2,74,词,ci2,985,,,,,,,,,,,,,,
,4,问间闻简,问,wen4,133,间,jian1/jian4,142,闻,wen2,500,简,jian3,820,,,,,,,,,,,
,2,同向,同,tong2,74,向,xiang4,158,,,,,,,,,,,,,,,,,
,2,尚党尝 ,尚,shang4,471,党,dang3,480,尝 ,,,,,,,,,,,,,,,,
,4,当档挡扫,当,dang1/dang4,78,档,dang4,2162,挡,dang3/dang4,2196,扫,sao3/sao4,1592,,,,,,,,,,,
,2,首道,首,shou3,442,道,dao4,29,,,,,,,,,,,,,,,,,
,4,音晋普暗,音,yin1,562,晋,jin4,1106,普,pu3,753,暗,an4,839,,,,,,,,,,,
,3,章竟童,章,zhang1,494,竟,jing4,700,童,tong2,1185,,,,,,,,,,,,,,
,2,消肯,消,xiao1,513,肯,ken3,846,,,,,,,,,,,,,,,,,
,2,育至,育,yu4,752,至,zhi4,159,,,,,,,,,,,,,,,,,
,2,能熊,能,neng2,45,熊,xiong2,1950,,,,,,,,,,,,,,,,,
,3,阿啊响,阿,a1/a4/a/e1,512,啊,a1/a2/a3/a4/a,922,响,xiang3,611,,,,,,,,,,,,,,
,3,奇寄 骑椅,奇,ji1/qi2,601,寄 ,,,骑,qi2,965,椅,yi3,1882,,,,,,,,,,,
,6,付讨过村衬符,付,fu4,892,讨,tao3,777,过,guo4,54,村,cun1,827,衬,chen4,2788,符,fu2,1197,,,,,
,2,对戏,对,dui4,46,戏,xi4,1104,,,,,,,,,,,,,,,,,
,2,树谢,树,shu4,748,谢,xie4,795,,,,,,,,,,,,,,,,,
,3,街班封,街,jie1,1173,班,ban1,893,封,feng1,650,,,,,,,,,,,,,,
,2,材村,材,cai2,1069,村,cun1,827,,,,,,,,,,,,,,,,,
,5,坏环怀杯林,坏,huai4,925,环,huan2,796,怀,huai2,716,杯,bei1,1359,林,lin2,355,,,,,,,,
,4,工卫红江,工,gong1,148,卫,wei4,603,红,hong2,511,江,jiang1,395,,,,,,,,,,,
,2,在左,在,zai4,7,左,zuo3,527,,,,,,,,,,,,,,,,,
,5,天夫末失矢,天,tian1,59,夫,fu1,263,末,mo4,1096,失,shi1,378,矢,shi3,2393,,,,,,,,
,4,半羊关美,半,ban4,481,羊,yang2,1372,关,guan1,145,美,mei3,179,,,,,,,,,,,
,4,元完 玩远园,元,yuan2,256,完 ,,,玩,wan2/wan4,1187,远,yuan3,366,园,yuan2,1006,,,,,,,,
,4,因困医国,因,yin1,107,困,kun3/kun4,1000,医,yi1,598,国,guo2,23,,,,,,,,,,,
,3,团围闹 圆,团,tuan2,498,围,wei2,634,闹 ,,,圆,yuan2,1223,,,,,,,,,,,
,4,区凶风网,区,ou1/qu1,333,凶,xiong1,1349,风,feng1,313,网,wang3,743,,,,,,,,,,,
,3,刚则厕,刚,gang1,693,则,ze2,236,厕,ce4,3316,,,,,,,,,,,,,,
,3,盐 监蓝篮,盐 ,,,监,jian1/jian4,733,蓝,la/lan2,1365,篮,lan2,2682,,,,,,,,,,,
,4,清情请猜,清,qing1,325,情,qing2,136,请,qing3,309,猜,cai1,1805,,,,,,,,,,,
,2,晴睛,晴,qing2,2102,睛,jing1,1118,,,,,,,,,,,,,,,,,
,6,垂睡重量董懂,垂,chui2,1440,睡,shui4,986,重,chong2/zhong4,146,量,liang2/liang4,292,董,dong3,1578,懂,dong3,1473,,,,,
,3,意息思,意,yi4,114,息,xi1,478,思,si1,297,,,,,,,,,,,,,,
,3,往住注,往,wang3/wang4,332,住,zhu4,308,注,zhu4,434,,,,,,,,,,,,,,
,2,望室,望,wang4,319,室,shi4,709,,,,,,,,,,,,,,,,,
,2,内肉,内,nei4,165,肉,rou4,1073,,,,,,,,,,,,,,,,,
,5,又文双叉汉,又,you4,93,文,wen2,127,双,shuang1,630,叉,cha1/cha2/cha3,2380,汉,han4,529,,,,,,,,
,2,仅权,仅,jin3,635,权,quan2,338,,,,,,,,,,,,,,,,,
,4,及板极级,及,ji2,168,板,ban3,1068,极,ji2,401,级,ji2,507,,,,,,,,,,,
,3,取敢期,取,qu3,295,敢,gan3,621,期,qi1,303,,,,,,,,,,,,,,
,4,改教叔数,改,gai3,345,教,jiao1/jiao4,229,叔,shu1,1158,数,shu3/shu4/shuo4,213,,,,,,,,,,,
,2,数楼,数,shu3/shu4/shuo4,213,楼,lou2,849,,,,,,,,,,,,,,,,,
,5,很根银眼跟,很,hen3,175,根,gen1,427,银,yin2,673,眼,yan3,323,跟,gen1,622,,,,,,,,
,4,狠狼浪良退 ,狠,hen3,1888,狼,lang2,1821,浪,lang4,1283,良,liang2,789,退 ,,,,,,,,,,
,4,路跑跳踢,路,lu4,281,跑,pao3,990,跳,tiao4,1116,踢,ti1,2764,,,,,,,,,,,
,5,各名客备奋,各,ge4,221,名,ming2,185,客,ke4,544,备,bei4,408,奋,fen4,1434,,,,,,,,
,2,采彩,采,cai3/cai4,679,彩,cai3,1207,,,,,,,,,,,,,,,,,
,2,菜茶,菜,cai4,1394,茶,cha2,1205,,,,,,,,,,,,,,,,,
,6,空容穷究穿突,空,kong1/kong4,299,容,rong2,448,穷,qiong2,1300,究,jiu1,528,穿,chuan1,867,突,tu1,586,,,,,
,2,药约,药,yao4,731,约,yao1/yue1,461,,,,,,,,,,,,,,,,,
,3,变恋恐,变,bian4,273,恋,lian4,1655,恐,kong3,813,,,,,,,,,,,,,,
,3,借惜错,借,jie4,1052,惜,xi1,1467,错,cuo4,747,,,,,,,,,,,,,,
,2,短矮,短,duan3,1008,矮,ai3,2398,,,,,,,,,,,,,,,,,
,3,查香某,查,cha2/zha1,563,香,xiang1,678,某,mou3,613,,,,,,,,,,,,,,
,2,雨雪,雨,yu3,847,雪,xue3,997,,,,,,,,,,,,,,,,,
,3,然热熟,然,ran2,61,热,re4,713,熟,shu2,1150,,,,,,,,,,,,,,
,3,雪需零,雪,xue3,997,需,xu1,525,零,ling2,1498,,,,,,,,,,,,,,
,2,丈戈,丈,zhang4,1129,戈,ge1,1928,,,,,,,,,,,,,,,,,
,2,次饮,次,ci4,214,饮,yin3,1233,,,,,,,,,,,,,,,,,
,2,欢观,欢,huan1,723,观,guan1/guan4,343,,,,,,,,,,,,,,,,,
,3,角通解,角,jiao3/jue2,825,通,tong1,209,解,jie3/jie4/xie4,234,,,,,,,,,,,,,,
,2,确碗,确,que4,423,碗,wan3,2042,,,,,,,,,,,,,,,,,
,2,喝渴,喝,he1/he4,1039,渴,ke3,2160,,,,,,,,,,,,,,,,,
,3,啤喂脾,啤,pi2,2884,喂,wei4,2336,脾,pi2,2578,,,,,,,,,,,,,,
,2,亮高,亮,liang4,903,高,gao1,132,,,,,,,,,,,,,,,,,
,6,巾市节布币带,巾,jin1,2134,市,shi4,310,节,jie2/jie1,426,布,bu4,413,币,bi4,1321,带,dai4,358,,,,,
,2,希帮,希,xi1,556,帮,bang1,933,,,,,,,,,,,,,,,,,
,4,水永冰泳,水,shui3,191,永,yong3,757,冰,bing1,1183,泳,yong3,2980,,,,,,,,,,,
,3,冷零邻,冷,leng3,831,零,ling2,1498,邻,lin2,1654,,,,,,,,,,,,,,
